DeviceID,Time,Power(kW)
STP 17000TL-10 561,23.01.2020 18:00,0.04
STP 17000TL-10 431,22.01.2020 08:00,0.32
STP 17000TL-10 435,22.01.2020 08:00,0.32
STP 17000TL-10 561,22.01.2020 08:00,0.29
STP 17000TL-10 435,22.01.2020 07:00,0.00
STP 17000TL-10 431,22.01.2020 09:00,1.37
STP 17000TL-10 435,22.01.2020 09:00,1.32
STP 17000TL-10 561,22.01.2020 09:00,1.08
STP 17000TL-10 431,22.01.2020 13:00,4.85
STP 17000TL-10 435,22.01.2020 13:00,4.76
STP 17000TL-10 561,22.01.2020 13:00,4.25
STP 17000TL-10 431,22.01.2020 10:00,4.48
STP 17000TL-10 435,22.01.2020 10:00,4.03
STP 17000TL-10 561,22.01.2020 10:00,2.89
STP 17000TL-10 431,22.01.2020 12:00,5.29
STP 17000TL-10 435,22.01.2020 12:00,5.09
STP 17000TL-10 561,22.01.2020 12:00,4.48
STP 17000TL-10 431,22.01.2020 11:00,5.82
STP 17000TL-10 435,22.01.2020 11:00,5.76
STP 17000TL-10 561,22.01.2020 11:00,4.82
STP 17000TL-10 431,22.01.2020 17:00,0.67
STP 17000TL-10 435,22.01.2020 17:00,0.74
STP 17000TL-10 561,22.01.2020 17:00,0.73
STP 17000TL-10 431,22.01.2020 14:00,1.10
STP 17000TL-10 435,22.01.2020 14:00,1.14
STP 17000TL-10 561,22.01.2020 14:00,1.06
STP 17000TL-10 431,22.01.2020 15:00,6.56
STP 17000TL-10 435,22.01.2020 15:00,6.75
STP 17000TL-10 561,22.01.2020 15:00,6.15
STP 17000TL-10 431,22.01.2020 16:00,2.78
STP 17000TL-10 435,22.01.2020 16:00,3.18
STP 17000TL-10 561,22.01.2020 16:00,2.84
STP 17000TL-10 431,22.01.2020 18:00,0.02
STP 17000TL-10 435,22.01.2020 18:00,0.02
STP 17000TL-10 561,22.01.2020 18:00,0.01
STP 17000TL-10 431,21.01.2020 08:00,0.33
STP 17000TL-10 435,21.01.2020 08:00,0.32
STP 17000TL-10 561,21.01.2020 08:00,0.28
STP 17000TL-10 431,21.01.2020 09:00,1.44
STP 17000TL-10 435,21.01.2020 09:00,1.40
STP 17000TL-10 561,21.01.2020 09:00,1.20
STP 17000TL-10 431,21.01.2020 13:00,9.96
STP 17000TL-10 435,21.01.2020 13:00,0.50
STP 17000TL-10 561,21.01.2020 13:00,6.19
STP 17000TL-10 431,21.01.2020 10:00,2.77
STP 17000TL-10 435,21.01.2020 10:00,2.80
STP 17000TL-10 561,21.01.2020 10:00,2.38
STP 17000TL-10 431,21.01.2020 12:00,8.60
STP 17000TL-10 435,21.01.2020 12:00,1.80
STP 17000TL-10 561,21.01.2020 12:00,5.98
